,Name,Height
0,Scarlet Astudillo,64.0
1,Joscelyn  Galindo,63.0
2,Dea Gazheli,63.0
3,Amanda Lee,61.0
4,Katherine Lee,62.0
5,Jillian Quinn,65.0
6,Aanya Shukul,69.0
7,Nicole  Tarasiuk,67.0
8,Joyce  Wong,64.0
9,Amy Zeng,62.0
10,Jennifer Alvarado,63.0
11,Christine  Bailey,62.0
12,Elizabeth Bailey,64.0
13,Ayatallah Elkotby,72.0
14,Hebatallah Elkotby,68.0
15,Sydney Gdanski,68.0
16,Hailey Johnston,64.0
17,Yelyzaveta Kurchak,65.0
18,Anastasia Kutuzov,65.0
19,Magdalena Mackiewicz,65.0
20,Sameeha Yara Malik Shaik,65.0
21,Diana Plasencia,63.0
22,Maria Scutero,62.0
23,Cierra Stenbar,63.0
24,Evi Blennert,71.0
25,Kayla Bulseco,66.0
26,Kornelia Buszka,69.0
27,Kathryn Chaves,69.0
28,Selena Corona,67.0
29,Laney Fenton,70.0
30,Morgen Frausto,70.0
31,Megan Hollaar,69.0
32,Ellie Lopez,63.0
33,Adi Luker,69.0
34,Maddie Lynch,67.0
35,Stephanie Marks,68.0
36,Adison Marshall,73.0
37,Beata Maruszczyk,64.0
38,Joselle Mensah,67.0
39,Karissa Metzger,65.0
40,Marlene Pape,68.0
41,Maja Piotrowicz,66.0
42,Lucy Price,69.0
43,Ashley Richard,71.0
44,Nina Tasic,66.0
45,Bayley Thompson,69.0
46,Linsey Watson,69.0
47,Calahan Williams,67.0
48,Saylor Wilson,70.0
49,Lyssa Wood,70.0
50,Aurora Abbruscato,66.0
51,Bianka Bukovics,71.0
52,Sophia Burwitz,66.0
53,Terrah DeLorimiere,63.0
54,Luiza Dias,68.0
55,McKenzie Fazio,74.0
56,Chiara Fuerst,67.0
57,Olivia Fuller,68.0
58,Atzi Gomez,63.0
59,Sarah Gormley,66.0
60,Presley Heitzmann,71.0
61,Alexis Kachkin,69.0
62,Natalia Kralova,69.0
63,Helena  Kurtz,64.0
64,Tumi Macdonell,68.0
65,Keianna Moss,68.0
66,Rylee Sitton,67.0
67,Caitlyn Sligh,68.0
68,Karley Sonnenberg,70.0
69,Olivia Terry,65.0
70,Logan Wilson,65.0
71,Jocelyn Zgola,70.0
72,Fifi  Amanuel,64.0
73,Julia Caramagna,62.0
74,Isabella Hanson,70.0
75,Mairin Huston,63.0
76,Maddy Joe,62.0
77,Grace Korey,70.0
78,Camila Mercado,61.0
79,Valeria Pages,61.0
80,Alazne Sudupe,65.0
81,Magdalen Swat,62.0
82,Sovy Taylor,65.0
83,Rachel Vazquez,65.0
84,Cami Yovich,62.0
85,Krisztina Balogh,66.0
86,Emma Bellars,65.0
87,Abby Burns,65.0
88,Alisa Dovbnya,68.0
89,Laney Fenton,66.0
90,Grace Geyer,71.0
91,Taylor Jacobson,61.0
92,Ashley Konz,68.0
93,Emma Lindecke,65.0
94,Abbie Masters,63.0
95,Teagan Powell,69.0
96,Vivian Ravines,68.0
97,Faith Ring,63.0
98,Sydney Stemley,66.0
99,Braelyn Wilson,65.0
100,Victoria Zjawin,64.0
