,Name,Height
0,Maynee De Los Santos,64.0
1,Emely Nunez,66.0
2,Kiana Castillo,70.0
3,Breanna Kimbrough,69.0
4,Zouera Sofiani,65.0
5,Nicole Santos,66.0
6,Aichata Kone,70.0
7,Nayely Rodriguez,66.0
8,Nahara Lopez,66.0
9,Despina Boudouris,65.0
10,Olivia Hyman,65.0
11,Sophie Schonauer,67.0
12,Nourhan Hadjeb,61.0
13,Christina Franco,69.0
14,Madi Hathaway,70.0
15,Elena Leung,68.0
16,Alicia Cervera,71.0
17,Lindsay Osterhoudt,73.0
18,Elizabeth Cerullo,68.0
19,Alexis Stoehrer,65.0
20,Jonaida Donowa,71.0
21,Jayna Marie Lorenzo,68.0
22,Kendall Conrad,71.0
23,Sarah Munn,63.0
24,Maya Angelova,75.0
25,Marah  Zenner,65.0
26,Rylie Harris,65.0
27,Giulia Rodrigues,63.0
28,Mia Saavedra,70.0
29,Mikayla  Kline,70.0
30,Sophia Kruczko,75.0
31,Lauren Posa,73.0
32,Abigail LeVines,71.0
33,Jada Suguturaga,73.0
34,Libby Nickels,61.0
35,Madelyn Eden,74.0
36,Jacklyn Simms,72.0
37,Marin Freeland,74.0
38,Layne Witherspoon,70.0
39,Janvier Buggs,66.0
40,Amelia Fitzpatrick,69.0
41,Lexi Basler,64.0
42,Ella Wicker,65.0
43,Marley Middlebrooks,70.0
44,Meredith Dixon,73.0
45,Colby Stempkowski,72.0
46,Bennett Daniels,71.0
47,Briged Potter,70.0
48,Shaelin Bilbo,66.0
49,Jordan Norwood,70.0
50,Molly Boyd,75.0
51,Jordan Berglin,70.0
52,Clare Sheedy,72.0
53,Cecilia Robert,67.0
54,Maeson Peterson,73.0
55,Lainee Mack,68.0
56,Cassidy Bloom,69.0
57,Gracie Fleming,71.0
58,Olivia Cook,68.0
59,Kaitlyn Houck,63.0
60,Kelly Gaston,68.0
61,Avery Nicholson,65.0
62,Natalie Acevedo,68.0
63,Salma Villa  Morales,62.0
64,Reagan  Irons,69.0
65,Avery Beall,69.0
66,Madison Eckley,65.0
67,Emma Kelly,69.0
68,Evie Jane Rembold,71.0
69,Gracelynn Wolzen,71.0
70,Maggie Rafferty,67.0
71,Gabby Gealey,71.0
72,Claire Pavick,68.0
73,Erin Ferello,65.0
74,Alyssa Daley,75.0
75,Myka Costanzo,64.0
76,Kyleigh McDermit,71.0
77,Katrina Cowder,71.0
